steering,acceleration,sensor_hit_0,sensor_hit_1,sensor_hit_2,sensor_hit_3,sensor_hit_4,sensor_hit_5,sensor_hit_6,sensor_hit_7,sensor_hit_8,sensor_hit_distance_0,sensor_hit_distance_1,sensor_hit_distance_2,sensor_hit_distance_3,sensor_hit_distance_4,sensor_hit_distance_5,sensor_hit_distance_6,sensor_hit_distance_7,sensor_hit_distance_8,velocity
-1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,9.058450699,5.94093895,5.091508865,10,4.669817448,4.130618572,7.064450264,5.891381264,8.047921181
-1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,9.076958656,5.95430994,5.100890636,10,4.657934666,4.122746468,7.078494072,5.87345171,8.047921181
0,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,9.062541008,5.95340395,5.10813427,10,4.655508041,4.115697384,7.07419157,5.878690243,8.132569313
0,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,9.035668373,5.95081234,5.117268085,10,4.6536479,4.106550694,7.066045284,5.888692379,8.132569313
-1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,9.041248322,5.958746433,5.127360821,10,4.642977715,4.098067284,7.076714039,5.878542423,8.226082802
-1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,9.060540199,5.974209785,5.142841339,10,4.624261856,4.085655212,7.099074841,5.85490942,8.226082802
0,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,9.057943344,5.979461193,5.152193546,10,4.616195202,4.077097893,7.104763508,5.852202892,8.2996521
0,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,9.032099724,5.978661537,5.159540653,10,4.616137028,4.065857887,7.096191406,5.867422104,8.2996521
0,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,9.01290226,5.977639198,5.164441586,10,4.617209911,4.058148861,7.087458611,5.879053593,8.384666443
0,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.986470222,5.975266933,5.169935226,10,4.619707108,4.048974991,7.074882507,5.895801067,8.384666443
0,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.965735435,5.973326683,5.174143314,10,4.621749401,4.04189682,7.064974785,5.908998489,8.466858864
0,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.936693192,5.969736576,5.178911209,10,4.625533104,4.033281326,7.050601959,5.928149223,8.466858864
0,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.9108181,5.966510296,5.183122635,10,4.62893343,4.025648594,7.037779331,5.945234776,8.551679611
0,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.86088562,5.959628105,5.190389156,10,4.636193752,4.014886856,7.012656212,5.985429764,8.551679611
1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.806213379,5.943393707,5.189155579,10,4.652758121,4.015139103,6.981328964,6.040115356,8.623394012
1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.727471352,5.918886185,5.186285496,10,4.678097248,4.016604424,6.935665607,6.12071085,8.623394012
-1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.695928574,5.912203789,5.188653469,10,4.688765526,4.013937473,6.918832779,6.152537823,8.679199219
-1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.669110298,5.908324242,5.194503784,10,4.696243763,4.008080959,6.906146526,6.178539753,8.679199219
0,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.648551941,5.902928352,5.198462963,10,4.702311516,4.004114151,6.89619112,6.198643684,8.751945496
0,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.618425369,5.894433975,5.203225613,10,4.711870193,3.999340296,6.881146908,6.22870636,8.751945496
0,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.595221519,5.88779974,5.206736088,10,4.719334126,3.995822906,6.869492531,6.260208607,8.828487396
0,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.563924789,5.878478527,5.210819721,10,4.729823589,3.991729259,6.853486061,6.302709103,8.828487396
0,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.539907455,5.8717103,5.213378429,10,4.737439156,3.988774538,6.841873169,6.333530426,8.828487396
0,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.51278019,5.864379883,5.212973595,10,4.745690823,3.986145496,6.829536915,6.365729332,8.90011692
0,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.477890968,5.85496664,5.212472439,10,4.756288528,3.985939026,6.813680172,6.407135487,8.90011692
